 LED calibration
Run: 

Gain - PMT gain divided by 10^5
K_adc - conversion factor of MAROC channel (input charge in fC to ADC codes)
1pe, code - single photoelectron amplitude in ADC codes
Rel_sens - relative sensitivity of pixel

Cluster     Channel        Gain       K_adc   1pe, code    Rel_sens
14        43         0         0      1.19      0.65
14        44         0         0     26.85      1.09
14        45         0         0      1.05      1.09
14        46         0         0     35.24      0.78
14        47         0         0      1.33      0.78
14        48         0         0     36.14      0.89
14        49         0         0      1.97      0.89
14        50         0         0     38.23      0.74
14        51         0         0      1.75      0.74
14        52         0         0     29.69      1.08
14        53         0         0      1.57      1.08
14        54         0         0     25.72      1.13
14        55         0         0      1.14      1.13
14        56         0         0     26.14       1.2
14        57         0         0      1.01       1.2
14        58         0         0      27.8       1.1
14        59         0         0      1.09       1.1
15         4         0         0     35.21      0.83
15         5         0         0       1.5      0.83
15         6         0         0     39.36      0.64
15         7         0         0      2.08      0.64
15         8         0         0     31.68      0.81
15         9         0         0      1.38      0.81
15        10         0         0     36.01      0.71
15        11         0         0      1.86      0.71
15        12         0         0     33.18      0.77
15        13         0         0      1.64      0.77
15        14         0         0      31.4      0.83
15        15         0         0      1.68      0.83
15        16         0         0     29.48      0.86
15        17         0         0      1.73      0.86
15        18         0         0     27.33      0.91
15        19         0         0      1.48      0.91
