cl	ch	pe	sens
17	19	2.69	1.01
17	20	28.04	1.06
17	21	2.90	1.06
17	24	23.84	0.73
17	25	2.29	0.73
17	26	25.17	0.80
17	27	1.80	0.80
17	28	26.73	1.00
17	29	2.92	1.00
17	30	22.38	0.49
17	31	0.91	0.49
17	32	26.87	1.23
17	33	2.29	1.23
17	34	22.54	1.02
17	35	1.92	1.02
17	36	25.90	0.89
17	37	2.21	0.89
17	38	38.46	0.61
17	39	3.25	0.61
17	40	25.58	0.90
17	41	1.77	0.90
17	42	31.01	0.78
17	43	2.85	0.78
17	44	27.48	0.99
17	45	2.04	0.99
17	46	35.40	0.62
17	47	3.21	0.62
17	48	24.72	1.06
17	49	1.69	1.06
17	50	36.91	0.41
17	51	1.44	0.41
17	52	24.16	0.90
17	53	1.63	0.90
17	54	29.76	0.99
17	55	3.08	0.99
17	56	24.97	0.81
17	57	2.22	0.81
17	58	39.37	0.63
17	59	2.57	0.63
18	4	19.01	0.56
18	5	0.88	0.56
18	6	29.04	1.06
18	7	2.38	1.06
18	8	30.00	1.30
18	9	2.76	1.30
18	10	29.52	0.76
18	11	2.69	0.76
18	12	27.18	0.93
18	13	2.10	0.93
18	14	21.43	0.89
18	15	1.49	0.89
18	16	24.39	1.07
18	17	1.57	1.07
18	18	24.49	1.08
18	19	2.16	1.08
18	20	22.17	1.06
18	21	1.49	1.06
18	22	38.89	1.23
18	23	3.38	1.23
18	24	27.47	1.00
18	25	2.04	1.00
18	26	31.02	0.68
18	27	1.91	0.68
18	28	21.38	0.97
18	29	1.62	0.97
18	30	24.96	0.83
18	31	2.09	0.83
18	32	36.77	1.16
18	33	3.04	1.16
18	34	24.34	1.20
18	35	1.97	1.20
18	36	33.72	1.26
18	37	2.93	1.26
18	38	31.97	0.80
18	39	2.06	0.80
18	40	23.66	0.72
18	41	1.72	0.72
18	42	21.83	0.80
18	43	1.47	0.80
18	44	16.17	1.32
18	45	1.22	1.32
18	46	21.91	0.87
18	47	1.01	0.87
18	48	25.00	0.73
18	49	1.43	0.73
18	50	30.41	0.75
18	51	2.13	0.75
18	52	19.47	1.36
18	53	1.67	1.36
18	54	31.27	1.13
18	55	2.66	1.13
18	56	25.87	0.71
18	57	1.10	0.71
18	58	31.57	1.13
18	59	2.59	1.13
19	4	21.36	1.12
19	5	1.80	1.12
19	6	31.47	1.04
19	7	2.86	1.04
19	8	24.84	0.52
19	9	1.28	0.52
19	10	24.15	0.87
19	11	1.86	0.87
19	12	28.32	0.99
19	13	2.54	0.99
19	14	33.31	1.07
19	15	3.58	1.07
19	16	31.91	1.06
19	17	3.11	1.06
19	18	32.31	0.85
19	19	2.53	0.85
19	20	30.92	1.29
19	21	3.00	1.29
19	22	27.89	1.10
19	23	3.13	1.10
19	24	22.92	0.66
19	25	2.08	0.66
19	26	24.61	0.77
19	27	1.52	0.77
19	28	23.22	0.60
19	29	1.66	0.60
19	30	26.13	0.51
19	31	0.85	0.51
19	32	23.69	0.84
19	33	1.99	0.84
19	34	31.64	1.12
19	35	3.53	1.12
19	36	27.19	0.97
19	37	2.31	0.97
19	38	-1.00	-1.00
